"","Date","State","Income","Expenses"
"97",1999-03-23,"GA",24905.5150882288,-1069.11476404806
"98",1999-08-12,"RI",24912.798071463,-974.231916136536
"99",1999-01-23,"AR",24995.228955684,-1004.96997672019
"100",1999-09-23,"IA",25001.8128984558,-1028.88810502006
"101",1999-09-01,"PA",25081.6234638178,-1097.61592639287
"102",1999-11-25,"ND",24861.3748873896,-827.214908757307
"103",1999-04-21,"AL",25031.5938712122,-1031.18782491575
"104",1999-08-09,"AR",24976.4620851398,-1030.30646247988
"105",1999-07-19,"MN",24899.1070854429,-963.630439583912
"106",1999-06-02,"CT",25025.9388294127,-1091.18616609101
"107",1999-06-20,"WV",24993.5089486992,-1076.20176709158
"108",1999-06-20,"AR",24849.2206441337,-914.521483994653
"109",1999-07-24,"GA",24979.6912123514,-948.314215355681
"110",1999-09-11,"SC",24904.4744359215,-989.406879875988
"111",1999-07-20,"LA",25048.4037261413,-1039.66196735281
"112",1999-04-22,"NH",24782.4617486152,-1043.34160378239
"113",1999-08-26,"WA",24997.037680637,-1000.65481262755
"114",1999-01-15,"IL",24999.6589606353,-898.223622615762
"115",1999-01-01,"GA",25013.6989364019,-857.119025886703
"116",1999-03-12,"GA",25072.4494953892,-1078.48944343322
"117",1999-01-27,"NC",24884.4266928705,-1157.72959547526
"118",1999-10-29,"TN",25054.0226676429,-787.177428622731
"119",1999-02-07,"AZ",24939.3205744092,-1218.12136493
"120",1999-04-02,"VA",25090.8758194488,-1044.31713817411
"121",1999-03-02,"RI",25180.9371393448,-968.282355025281
"122",1999-01-02,"NJ",24946.5539159955,-818.704155353991
"123",1999-03-25,"VT",24966.5973124596,-1225.366817585
"124",1999-03-03,"VT",24892.1087925074,-887.068988699572
"125",1999-03-28,"KS",25137.0852571871,-1087.84289066706
"126",1999-03-23,"NY",24944.0016582203,-1056.93030381953
"127",1999-09-29,"TX",25194.3892651961,-1165.81430469287
"128",1999-02-18,"PA",24936.6158087755,-1226.97389794312
"129",1999-10-04,"CT",25077.4358048288,-904.862883206473
"130",1999-12-27,"GA",24809.174719838,-953.500523073426
"131",1999-08-27,"CA",25163.9762363275,-1005.93881041219
"132",1999-12-14,"MA",24949.4353419987,-995.260003864693
"133",1999-04-02,"MO",25008.4350036337,-875.284317777605
"134",1999-11-11,"TX",25001.4838572993,-1036.49601955367
"135",1999-10-28,"NY",24984.113880858,-1046.36353230266
"136",1999-07-30,"MI",25020.6037859679,-1039.2298707508
"137",1999-12-24,"IA",25017.4242614936,-1216.83251901012
"138",1999-12-18,"NJ",24839.487160656,-1043.46014468319
"139",1999-03-22,"MT",25110.6485574057,-812.533476929899
"140",1999-08-04,"TN",24880.7322844709,-1105.06893041982
"141",1999-04-22,"WI",25108.647058598,-1096.21167331017
"142",1999-04-06,"SD",24849.1097749134,-974.105087178641
"143",1999-01-28,"OK",24919.0637173329,-848.098181062207
"144",1999-05-24,"AR",25042.3611833044,-914.443134247346
"145",1999-02-13,"AK",24977.9080507173,-899.214195717164
"146",1999-06-26,"NY",24953.3679206284,-1096.0692611936
"147",1999-03-19,"NE",24780.7817063443,-1066.83667368769
"148",1999-04-03,"PA",24849.2527799339,-1212.79599662296
"149",1999-06-28,"IL",24881.2691888662,-975.454287506873
"150",1999-02-08,"AL",25012.4705638414,-1223.40464497379
"151",1999-01-30,"AL",24872.1300431063,-1065.74202485744
"152",1999-07-29,"HI",25106.204390974,-958.095484599166
"153",1999-05-06,"VA",24883.1286541245,-1011.1074617903
"154",1999-09-20,"SC",24975.9484411323,-974.535900944254
"155",1999-01-04,"OK",25057.1351486689,-1024.12455649372
"156",1999-04-02,"VT",24946.7936658254,-914.303573521933
"157",1999-07-18,"HI",25063.2094989756,-1151.27209776505
"158",1999-02-08,"NJ",25063.1446271364,-1050.60063245729
"159",1999-01-12,"IA",24916.5326858097,-872.562544630069
"160",1999-10-18,"WY",24985.5333068393,-860.281983496438
"161",1999-02-28,"HI",25028.0218055445,-906.136336012969
"162",1999-04-21,"NM",24924.1370153205,-960.46611632794
"163",1999-12-14,"ID",24995.9288582723,-949.54340153039
"164",1999-04-16,"LA",25144.2223631122,-849.296166222795
"165",1999-08-22,"MI",25012.9292726418,-990.484579188816
"166",1999-04-10,"HI",24947.7043743927,-986.040024061032
"167",1999-06-11,"CT",24771.9865169524,-891.929204770423
"168",1999-02-08,"ME",25047.3183381017,-956.644312338956
"169",1999-02-24,"NY",25014.0840059369,-914.397771373011
"170",1999-06-09,"TX",24915.2192487683,-1049.89675228552
"171",1999-07-30,"LA",24880.7161375377,-989.607500058569
"172",1999-09-08,"MO",25053.685245811,-1058.8422163931
"173",1999-03-13,"NC",24983.6684135808,-1068.49233822284
"174",1999-09-21,"AR",24962.9744945083,-945.451891963185
"175",1999-04-05,"NY",24996.0544008581,-1136.66947212583
"176",1999-04-30,"MN",25047.326340824,-908.509155090204
"177",1999-09-07,"AK",25213.6797297279,-972.500478189715
"178",1999-08-11,"NY",25175.9117795029,-1146.93570425148
"179",1999-10-12,"WY",25056.7473885559,-914.12722900443
"180",1999-10-04,"GA",25069.7514945007,-1064.98666060104
"181",1999-06-21,"NC",24873.8280097561,-960.185075028657
"182",1999-09-09,"SD",25055.5449199044,-1026.68578126975
"183",1999-03-01,"OK",24957.3150234652,-1006.78815272294
"184",1999-08-29,"OR",24956.7235122083,-934.6507863294
"185",1999-01-26,"ID",24909.8343965569,-859.960896322669
"186",1999-11-12,"NM",24990.6329260491,-912.579273203191
"187",1999-10-29,"SD",25035.614739822,-1027.50298344982
"188",1999-05-27,"AZ",25005.3213762955,-1130.94953863599
"189",1999-03-04,"RI",25131.190982101,-1112.2354044567
"190",1999-04-23,"NY",25058.3234827556,-1045.43686447996
"191",1999-12-04,"MT",24947.1347951396,-987.556827078148
"192",1999-01-10,"FL",25056.3078205896,-850.148696079762
"193",1999-08-16,"IL",24769.4447493292,-985.747799000882
"194",1999-12-19,"WA",24999.6068989109,-937.333261513425
"195",1999-06-10,"ID",25141.9518954533,-992.481673553556
"196",1999-12-06,"WV",25220.0489559156,-984.027847363136
"197",1999-05-31,"AZ",24741.007607488,-1107.54734459988
"198",1999-02-10,"MN",24942.4004324499,-1011.97223337787
"199",1999-07-11,"UT",24985.150769329,-1081.23198291388
"200",1999-05-15,"MO",24957.6258576396,-1074.88817141799
"201",1999-11-06,"WI",25055.8254609193,-922.022724060197
"202",1999-11-12,"NM",25047.2822767796,-995.617460937892
"203",1999-10-18,"CT",25094.7060530256,-793.443520124105
"204",1999-04-30,"WY",25232.4404148654,-1174.83787212728
"205",1999-07-26,"KY",25056.2772313053,-878.736601616435
"206",1999-01-19,"DE",25030.386062285,-1026.28921977125
"207",1999-01-06,"KS",25197.1904433084,-1150.51182353431
"208",1999-04-02,"TN",25057.6404417909,-847.350254837836
"209",1999-05-25,"ME",24975.4591580887,-1084.11623878557
"210",1999-12-15,"WA",24878.319073647,-1120.31892740735
"211",1999-05-22,"KY",25027.9785851177,-924.590516115377
"212",1999-07-16,"IA",25244.770233765,-1069.07769158863
"213",1999-11-02,"LA",25084.7344414295,-1013.99686279243
"214",1999-04-24,"MD",24898.6346605642,-1047.20496359736
"215",1999-04-07,"OK",24977.9132591479,-933.337275923539
"216",1999-10-28,"WY",25031.4549070674,-857.261162499592
"217",1999-12-01,"SD",24957.7961189401,-871.869480630742
"218",1999-11-20,"TN",24927.3068564754,-1073.44375681137
"219",1999-06-21,"GA",25030.5077079147,-980.326382351521
"220",1999-03-26,"AK",24969.0800409188,-991.780064476608
"221",1999-02-04,"CO",24884.1711959733,-1001.60892398642
"222",1999-11-01,"NY",25137.0984241044,-1064.88077307778
"223",1999-01-20,"IL",24743.4365769673,-1032.49399953672
"224",1999-05-08,"ND",24877.1786074717,-1061.22766824025
"225",1999-05-05,"MD",25061.895758349,-1105.39419822612
"226",1999-09-04,"AL",24957.2483818501,-989.92603148893
"227",1999-06-25,"KY",24978.4717516436,-922.942465192685
"228",1999-06-24,"VT",25023.9781352368,-947.90647335432
"229",1999-10-31,"VA",24986.8189019679,-919.20436487981
"230",1999-05-25,"AL",25029.1648366002,-1086.38741229003
"231",1999-05-12,"IL",25179.510775317,-1118.69188318831
"232",1999-10-31,"ID",24918.170700422,-1043.1479012981
"233",1999-12-08,"TX",25160.0861575092,-930.066511564142
"234",1999-10-02,"TX",25151.8542429588,-1019.71955577795
"235",1999-09-12,"DE",24803.0612051307,-950.276675839467
"236",1999-05-13,"CO",24810.4685531511,-680.425261110701
"237",1999-05-27,"CA",25048.2865339393,-941.816389226963
"238",1999-07-04,"MD",25010.90674422,-1024.5984742073
"239",1999-09-04,"MN",25014.2830557215,-1123.32289282602
"240",1999-12-01,"OH",25114.1988990443,-1111.07964232731
"241",1999-12-12,"TN",25045.3484715741,-1035.58654608062
"242",1999-02-27,"MS",24985.0570680365,-1101.45908784173
"243",1999-04-07,"VA",24905.8381970391,-1100.74535137979
"244",1999-12-01,"HI",25160.5252905323,-903.40596569924
"245",1999-11-08,"NV",24676.5261928643,-1017.64464643795
"246",1999-01-26,"AR",25173.0039998062,-1068.24431172843
"247",1999-10-19,"WI",24858.5095897954,-908.004603186627
"248",1999-03-12,"VT",24973.8313325051,-1058.36915107741
"249",1999-08-23,"OK",24956.9981653157,-1040.23938648093
"250",1999-06-11,"IN",25057.1873688157,-1029.03717970263
"251",1999-04-17,"HI",25006.0608274514,-1071.08857850739
"252",1999-09-14,"RI",25001.8815943061,-1043.1969815121
"253",1999-04-25,"MD",25069.4003196677,-894.572784207277
"254",1999-08-12,"MT",25007.9452126377,-982.364191040312
"255",1999-02-19,"NY",25179.1281323084,-962.24640173773
"256",1999-06-16,"FL",24967.6039261869,-818.908823151651
"257",1999-04-09,"CT",25205.1764675311,-1071.59448170117
"258",1999-04-07,"OR",24977.1615986421,-1058.64382786965
"259",1999-04-06,"UT",25053.0069933985,-1097.88697135882
"260",1999-01-30,"HI",25122.3820882169,-1071.31884186537
"261",1999-02-20,"AL",25125.3080937021,-814.43313145907
"262",1999-06-12,"WA",25339.0959731164,-1078.64767115153
"263",1999-08-09,"IA",25044.5640698749,-1036.62508393559
"264",1999-07-04,"ND",25090.4501818444,-901.276665477578
"265",1999-05-08,"ID",25069.1779838126,-1050.36953539105
"266",1999-08-01,"TN",25006.6432350845,-999.533180349285
"267",1999-12-24,"VT",25095.5919866669,-938.501867257368
"268",1999-04-28,"SD",24967.9812211108,-922.499578857967
"269",1999-09-13,"NH",25013.0390641904,-1167.77545985694
"270",1999-03-29,"WV",24966.8310597535,-960.606339709829
"271",1999-06-23,"GA",24981.7385903227,-1025.27572372868
"272",1999-09-27,"ND",25022.946970689,-1044.43021016903
"273",1999-05-13,"AR",24889.0322958863,-972.912672575934
"274",1999-01-04,"NM",24848.9278152981,-915.960854682627
"275",1999-08-26,"WV",24950.6522092014,-859.101092357478
"276",1999-02-05,"NE",25064.2292280919,-953.739074374436
"277",1999-05-08,"AL",25148.7189214688,-1039.43120060097
"278",1999-07-30,"WV",25041.1496376021,-1177.44692533049
"279",1999-11-11,"UT",24897.559214598,-1123.25680784504
"280",1999-07-30,"OH",25131.2578192247,-1085.75002515706
"281",1999-10-21,"OK",24916.6987041061,-966.288926094217
"282",1999-09-15,"WA",24988.7810800938,-722.691199873887
"283",1999-03-25,"GA",25001.3045754431,-1133.30178147588
"284",1999-06-17,"ID",25003.0187158904,-976.871648956052
"285",1999-04-22,"MA",24956.573070922,-935.300598291567
"286",1999-10-26,"SD",25000.4734883048,-1023.77231199148
"287",1999-07-22,"WV",25068.8180350234,-1059.84769641083
"288",1999-07-16,"NY",24960.7982531957,-1025.9108374316
"289",1999-01-23,"VT",25007.8400299437,-995.440730371231
"290",1999-09-22,"AR",25032.9171083784,-959.354357700812
"291",1999-05-01,"OR",24787.2475350731,-1123.51433268535
"292",1999-03-16,"OK",24893.964215585,-1051.39289268352
"293",1999-07-01,"IA",25058.6706509913,-830.172494084465
"294",1999-10-17,"UT",25158.8063665949,-899.02352777027
"295",1999-09-15,"NV",25026.4125413366,-1182.27969680385
"296",1999-02-26,"ND",24945.4340821115,-942.435057988593
"297",1999-07-06,"WY",24874.9185746558,-1056.35713609255
"298",1999-12-30,"RI",25056.8609091128,-984.139376613784
"299",1999-07-30,"OH",25010.5436231578,-1017.41257621625
"300",1999-10-01,"CO",25119.6409530828,-985.54159458893
"301",1999-04-11,"TX",24990.2340462363,-1146.12131674114
"302",1999-04-06,"ME",25090.3309759913,-1094.6315428333
"303",1999-02-06,"NC",25091.0143299308,-954.743217614351
"304",1999-03-21,"MN",24993.3099142305,-825.772332480197
"305",1999-05-31,"ME",24943.7032559789,-1094.70713040628
"306",1999-12-04,"OH",24924.7452934448,-1148.1205914953
"307",1999-01-10,"KY",25005.3384745074,-917.307829012601
"308",1999-01-27,"AZ",25178.9854058267,-818.68027337321
"309",1999-08-25,"NC",24927.7139172685,-1021.41767684928
"310",1999-11-27,"OK",24997.9409305734,-1151.7660476768
"311",1999-06-14,"WY",25188.8785634959,-1037.32851458518
"312",1999-12-19,"MD",25109.1509425333,-1044.54269074126
"313",1999-10-01,"KY",25129.5721011854,-931.073618583848
"314",1999-03-30,"KS",24987.0256747725,-1234.59365329216
"315",1999-01-22,"KY",24987.9956244885,-878.132537890554
"316",1999-11-19,"NY",24922.261424672,-1042.57025347782
"317",1999-11-08,"NJ",25048.4224836095,-1066.40840572685
"318",1999-01-06,"RI",25082.6275618977,-1019.46229535502
"319",1999-04-20,"CO",24810.5152053397,-1059.23754575276
"320",1999-05-14,"OH",24973.5498466182,-791.075117158889
"321",1999-12-05,"CT",24941.0669345611,-1134.58324505643
"322",1999-02-18,"ME",24971.1546079757,-1090.43162223771
"323",1999-05-07,"KS",24988.05925124,-918.575568819519
"324",1999-11-19,"OH",25132.875420105,-1015.63923885731
"325",1999-02-10,"TX",25007.7386751385,-937.03685168068
"326",1999-10-31,"IL",25120.2605429006,-943.303703888019
"327",2000-01-01,"DE",25135.4782727266,-964.83963550953
"328",1999-05-25,"MA",25052.0631063906,-917.285658766966
"329",1999-12-30,"WI",24964.3876873681,-1204.69965368142
"330",1999-09-11,"IN",24854.859754041,-924.704588882874
"331",1999-06-16,"IN",24961.0129729787,-1127.42759336258
"332",1999-03-14,"TX",24857.8136358962,-1097.75103531224
"333",1999-02-12,"IN",25007.8997200808,-1113.41421919162
"334",1999-11-22,"FL",25149.1288863388,-969.912454045421
"335",1999-08-01,"KY",24895.8274047225,-1026.58716784626
"336",1999-11-26,"CT",24952.4414897441,-1025.29936651464
"337",1999-11-27,"MO",25025.0032112915,-949.103645675336
"338",1999-10-17,"NY",24986.8697810407,-1093.68967402163
"339",1999-01-22,"MO",25041.7437972355,-976.513907593939
"340",1999-10-21,"MI",25019.7250978106,-1121.00596522595
"341",1999-12-04,"KS",25036.6544641352,-900.753029242021
"342",1999-05-04,"IL",24915.9435934499,-1051.23966785272
"343",1999-10-17,"TX",24826.9064979772,-1035.02300868692
"344",1999-04-14,"RI",24906.2562599484,-1079.21746746467
"345",1999-10-11,"CT",24978.1319189203,-1125.15590081576
"346",1999-09-01,"UT",25100.9660923333,-1101.05523099352
"347",1999-01-29,"IA",25006.8315016617,-1075.73083414078
"348",1999-05-31,"OK",24996.2037299431,-992.997201858877
"349",1999-11-13,"MS",25076.106157603,-1137.90757497252
"350",1999-06-11,"KS",25030.2760886505,-1087.49402974633
"351",1999-04-27,"NY",24987.1255232408,-946.10762482754
"352",1999-08-22,"WV",24939.3493418526,-1150.28842713658
"353",1999-01-04,"MA",24927.9301575635,-978.327713459642
"354",1999-03-31,"FL",25192.4289248449,-1047.63779103437
"355",1999-09-25,"UT",25176.0595181386,-846.082001537924
"356",1999-02-02,"SC",25001.40374854,-969.746712548484
"357",1999-06-18,"MA",24774.6468870061,-1049.34708600147
"358",1999-07-15,"NH",25078.7107260139,-1142.65775314494
"359",1999-01-26,"MA",25099.3109814971,-921.590509632371
"360",1999-04-14,"NM",24874.1106939078,-952.0619958872
"361",1999-09-19,"NM",25023.424963531,-1063.02179636791
"362",1999-07-27,"OK",24890.7997937585,-972.63116449581
"363",1999-02-24,"NJ",24841.8128122425,-989.978818502775
"364",1999-12-09,"NJ",25056.2931755202,-1160.53621087433
"365",1999-03-15,"DE",24989.3955069227,-1133.12949511461
"366",1999-07-23,"OR",24993.5148233221,-1118.65166560005
"367",1999-11-19,"TX",25168.6300821092,-1101.61101365453
"368",1999-04-17,"RI",24922.0534029234,-839.724191783894
"369",1999-11-07,"IL",25061.0707769754,-1062.22916551413
"370",1999-09-04,"AK",24976.8305104019,-965.833089955709
"371",1999-06-19,"IA",24853.5456953436,-898.515378209685
"372",1999-10-31,"WI",24989.4496125007,-844.86135671042
"373",1999-01-10,"NY",25096.4216884924,-977.428858791376
"374",1999-10-08,"TN",25070.9567718333,-936.5782925125
"375",1999-01-24,"DE",24883.2610636696,-977.296339020494
"376",1999-03-24,"AK",25160.5857305556,-932.397286489055
"377",1999-08-17,"WY",24883.591629168,-882.29887311225
"378",1999-10-27,"WV",25025.4748927616,-921.714671650358
"379",1999-12-07,"CO",25123.6213058278,-920.406034164814
"380",1999-03-20,"MI",25011.4101424024,-956.821347538602
"381",1999-05-17,"PA",25042.8102277745,-1150.722895161
"382",1999-04-17,"MO",25042.2742980107,-1103.39101245205
"383",1999-07-21,"NC",24943.7020375579,-967.226174428583
"384",1999-10-19,"MT",25099.0166576289,-967.971053799862
"385",1999-10-28,"NY",24973.6174047382,-1072.07067682417
"386",1999-02-28,"MA",24892.8901552107,-1014.90455909493
"387",1999-10-25,"OR",24794.4080033701,-966.268586026036
"388",1999-06-28,"MI",25118.6170963482,-889.726003137631
"389",1999-04-05,"MO",25124.5485439996,-851.852484388952
"390",1999-07-05,"KY",24818.7583522585,-981.249475670386
"391",1999-01-13,"CT",24862.532854079,-876.835434457181
"392",1999-03-29,"TN",24961.7174133873,-1003.64657602268
"393",1999-05-17,"VT",25177.8751394433,-947.768357613235
"394",1999-11-17,"OR",24872.1187403165,-1086.43825255025
"395",1999-05-08,"HI",25121.0156172373,-975.027804772089
"396",1999-10-01,"NV",25085.1188844114,-1026.6093953799
"397",1999-07-27,"ND",24929.1543322659,-1126.67471660172
"398",1999-06-07,"KS",25073.6116518819,-1161.73913423066
"399",1999-07-25,"TX",24992.7490175522,-849.614398722964
"400",1999-03-13,"IN",24998.8201396257,-871.788399888857
"401",1999-12-20,"KY",24770.4194390227,-928.561722927213
"402",1999-08-10,"AL",25047.7846973452,-908.829332229282
"403",1999-05-05,"ME",24838.2117635554,-922.649214294342
"404",1999-06-13,"CT",24857.6397964397,-1044.98515965623
"405",1999-10-09,"TN",24888.6257135196,-980.400855012044
"406",1999-08-17,"MI",24958.0017176772,-1049.64477408153
"407",1999-09-06,"CA",25051.1233445745,-893.461184984926
"408",1999-05-29,"WY",24976.443278549,-1077.95834007427
"409",1999-01-29,"KY",25003.9707560053,-917.972409882697
"410",1999-05-25,"LA",24939.2238403805,-915.265559081975
"411",1999-02-06,"NV",24989.2396216039,-1120.72773795888
"412",1999-11-20,"ME",24909.353750195,-1025.05604926809
"413",1999-12-10,"OK",24945.6531090852,-1086.56272412103
"414",1999-07-31,"MI",25117.6315857877,-863.22481548595
"415",1999-05-29,"NY",25046.1415749901,-944.937276431587
"416",1999-09-26,"NE",24905.0131233286,-992.66190919597
"417",1999-02-08,"UT",24961.9050565516,-1228.82368682565
"418",1999-06-03,"KY",24959.5315175873,-1159.14644566929
"419",1999-09-25,"SD",24968.0612076158,-972.278277337504
"420",1999-07-23,"ND",24972.3767893158,-1095.92594277628
"421",1999-04-20,"NH",24991.4363314673,-858.422956385549
"422",1999-02-14,"MT",25001.1761871073,-965.74643797506
"423",1999-01-26,"MS",25059.4662871279,-810.382971111182
"424",1999-01-18,"IA",25001.5108865498,-969.023459779105
"425",1999-03-23,"VA",24939.1733620008,-972.620440888042
"426",1999-07-03,"MS",25033.6690020543,-1024.73356531879
"427",1999-12-19,"AL",25104.9294753,-1170.04321856491
"428",1999-08-11,"DE",24813.1418716072,-892.132500277495
"429",1999-03-15,"OK",24990.8101635879,-1006.26801899926
"430",1999-08-11,"VA",25020.5874698706,-1202.65813149701
"431",1999-07-18,"HI",24874.5361387628,-1000.0263170155
"432",1999-03-27,"TX",25232.7993376238,-940.802986674389
"433",1999-12-10,"NH",24811.0832767926,-1062.66407746275
"434",1999-07-07,"VT",25033.1318166335,-1055.88058211015
"435",1999-03-06,"CO",25166.7125470414,-1114.39152986419
"436",1999-07-03,"UT",24946.2180978893,-1057.99605979925
"437",1999-01-28,"NM",25089.8506524105,-891.202985026476
"438",1999-08-28,"FL",24876.8406952155,-800.039038805643
"439",1999-05-07,"NJ",24942.1896385367,-1004.14004985613
"440",1999-02-13,"WV",25168.9379592337,-918.339113911248
"441",1999-03-13,"IN",24995.3833983585,-1038.90415374746
"442",1999-08-20,"OK",25067.4528490873,-977.740915910623
"443",1999-04-12,"OK",24994.142223636,-1090.17070954221
"444",1999-01-12,"NJ",24661.4240206813,-1092.09815051831
"445",1999-11-27,"DE",25096.6960326603,-1006.82938642031
"446",1999-09-08,"NY",24920.5929379272,-1137.39729620472
"447",1999-11-19,"AL",24795.9954195729,-949.252992682296
"448",1999-04-10,"IN",25060.9409455813,-976.516572746304
"449",1999-04-13,"IN",24868.0300372771,-1011.59502736776
"450",1999-02-17,"KS",25097.3625687577,-1019.27993493029
"451",1999-11-25,"VT",24994.3803134123,-1001.52196653646
"452",1999-10-08,"CO",24972.9593905711,-1056.66675060489
"453",1999-11-07,"IL",25020.1690524891,-918.122750925892
"454",1999-12-23,"CT",24991.899899648,-1028.8721855462
"455",1999-05-08,"OH",24920.2366070756,-1039.26886052268
"456",1999-04-26,"NC",25103.9068737551,-988.384043674381
"457",1999-05-02,"NY",25011.6432470091,-1057.25321917659
"458",1999-02-16,"MO",24885.868236746,-961.630214032237
